antecedent,consequent,fitness,support,confidence,lift,coverage,rhs_support,conviction,amplitude,inclusion,interestingness,comprehensibility,netconf,yulesq
"[exang([0, 1])]","[fbs([0, 1])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.14285714285714285,0.9990243902439024,0.6309297535714574,0.0,0.0
"[exang([0, 1])]","[slope([0, 2])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.14285714285714285,0.9990243902439024,0.6309297535714574,0.0,0.0
"[restecg([0, 2])]","[exang([0, 1]), slope([0, 2])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.21428571428571427,0.9990243902439024,0.7924812503605781,0.0,0.0
"[exang([0, 1]), fbs([0, 1]), restecg([0, 2])]","[slope([0, 2])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.2857142857142857,0.9990243902439024,0.43067655807339306,0.0,0.0
"[sex([0, 1]), exang([0, 1])]","[cp([0, 3])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.21428571428571427,0.9990243902439024,0.5,0.0,0.0
"[exang([0, 1])]","[restecg([0, 2]), slope([0, 2])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.21428571428571427,0.9990243902439024,0.7924812503605781,0.0,0.0
"[slope([0, 2]), exang([0, 1])]","[thal([0, 3])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.21428571428571427,0.9990243902439024,0.5,0.0,0.0
"[sex([0, 1])]","[exang([0, 1]), cp([0, 3])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.21428571428571427,0.9990243902439024,0.7924812503605781,0.0,0.0
"[thalach([71, 202])]","[exang([0, 1])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.14285714285714285,0.9990243902439024,0.6309297535714574,0.0,0.0
"[sex([0, 1])]","[exang([0, 1])]",1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.14285714285714285,0.9990243902439024,0.6309297535714574,0.0,0.0
"[exang([0, 1])]","[chol([126, 523])]",0.9970731707317073,0.9970731707317073,0.9970731707317073,1.0,1.0,0.9970731707317073,0.9999999999999242,0.04680365296803646,0.14285714285714285,0.9961032635045922,0.6309297535714574,0.0,0.0
"[sex([0, 1]), cp([0, 3])]","[exang([0, 1]), thal([1, 3])]",0.9931707317073171,0.9931707317073171,0.9931707317073171,1.0,1.0,0.9931707317073171,0.9999999999999675,0.08333333333333337,0.2857142857142857,0.992208401851395,0.6826061944859854,0.0,0.0
"[exang([0, 1]), cp([0, 3])]","[thal([1, 3])]",0.9931707317073171,0.9931707317073171,0.9931707317073171,1.0,1.0,0.9931707317073171,0.9999999999999675,0.11111111111111116,0.21428571428571427,0.992208401851395,0.5,0.0,0.0
"[sex([0, 1]), cp([0, 3]), exang([0, 1])]","[thal([1, 3])]",0.9931707317073171,0.9931707317073171,0.9931707317073171,1.0,1.0,0.9931707317073171,0.9999999999999675,0.08333333333333337,0.2857142857142857,0.992208401851395,0.43067655807339306,0.0,0.0
"[cp([0, 3])]","[fbs([0, 1]), exang([0, 1]), thal([1, 3])]",0.9931707317073171,0.9931707317073171,0.9931707317073171,1.0,1.0,0.9931707317073171,0.9999999999999675,0.08333333333333337,0.2857142857142857,0.992208401851395,0.8613531161467861,0.0,0.0
"[fbs([0, 1])]","[exang([0, 1]), cp([0, 3]), thal([1, 3])]",0.9931707317073171,0.9931707317073171,0.9931707317073171,1.0,1.0,0.9931707317073171,0.9999999999999675,0.08333333333333337,0.2857142857142857,0.992208401851395,0.8613531161467861,0.0,0.0
"[exang([0, 1]), restecg([0, 1])]","[slope([0, 2])]",0.9926829268292683,0.9853658536585366,1.0,1.0,0.9853658536585366,1.0,0.0,0.16666666666666674,0.21428571428571427,0.9844185893994574,0.5,0.0,0.0
